lengthscale l2regularizer rmse_bma_mean rmse_bma rmse_bae rmse_bne_vo rmse_bne_vs
16.0 1.0 0.9179398 0.9179398 0.9020527 0.9002981 0.89735013
16.0 16.0 0.9179398 0.9179398 0.8929736 0.892948 0.91493684
6.0 16.0 0.9014802 0.9014802 0.8806195 0.87990963 0.9014181
6.0 14.0 0.9014802 0.9014802 0.88040364 0.88031465 0.8948285
17.0 8.0 0.9179398 0.9179398 0.89315593 0.8931656 0.8977807
7.0 7.0 0.9014802 0.9014802 0.881783 0.88113993 0.8840768
16.0 3.0 0.9179398 0.9179398 0.89475554 0.89368117 0.8952778
17.0 12.0 0.9179398 0.9179398 0.89313304 0.89297247 0.9029495
7.0 8.0 0.9014802 0.9014802 0.88158655 0.88056976 0.88399315
7.0 19.0 0.9014802 0.9014802 0.88031304 0.8799918 0.91814214
7.0 17.0 0.9014802 0.9014802 0.88015115 0.8801751 0.9055325
7.0 10.0 0.9014802 0.9014802 0.8809565 0.8804615 0.88678855
16.0 2.0 0.9179398 0.9179398 0.8964157 0.8955057 0.8953001
14.0 16.0 0.9179398 0.9179398 0.89294016 0.89293015 0.91502297
14.0 17.0 0.9179398 0.9179398 0.89267904 0.8928548 0.91973984
7.0 4.0 0.9014802 0.9014802 0.88503134 0.88345164 0.8839323
7.0 2.0 0.9014802 0.9014802 0.8921011 0.89073133 0.88711107
15.0 4.0 0.9179398 0.9179398 0.89410675 0.89322054 0.89499843
15.0 6.0 0.9179398 0.9179398 0.89400995 0.89340365 0.8960207
8.0 8.0 0.9014802 0.9014802 0.8816574 0.88069975 0.88421214
6.0 7.0 0.9014802 0.9014802 0.88233995 0.88137734 0.8838639
14.0 19.0 0.9179398 0.9179398 0.8929011 0.8928385 0.93207943
14.0 18.0 0.9179398 0.9179398 0.8928593 0.89305365 0.92530775
17.0 17.0 0.9179398 0.9179398 0.8927477 0.8929874 0.9196607
7.0 3.0 0.9014802 0.9014802 0.8875906 0.88548595 0.8852577
17.0 18.0 0.9179398 0.9179398 0.8930026 0.8929092 0.9249573
8.0 9.0 0.9014802 0.9014802 0.8812467 0.8805297 0.8855766
8.0 6.0 0.9014802 0.9014802 0.88172644 0.8809293 0.8836111
15.0 5.0 0.9179398 0.9179398 0.8937243 0.893236 0.89573145
15.0 3.0 0.9179398 0.9179398 0.89465475 0.8938981 0.89510375
17.0 14.0 0.9179398 0.9179398 0.8926876 0.89304334 0.90773237
8.0 10.0 0.9014802 0.9014802 0.880699 0.88028556 0.8868149
8.0 14.0 0.9014802 0.9014802 0.88032115 0.8799798 0.8947938
7.0 18.0 0.9014802 0.9014802 0.87989265 0.87948143 0.911352
17.0 13.0 0.9179398 0.9179398 0.8929512 0.893058 0.9053915
8.0 15.0 0.9014802 0.9014802 0.8801465 0.8799059 0.89759886
8.0 16.0 0.9014802 0.9014802 0.8804449 0.87984526 0.90119916
7.0 20.0 0.9014802 0.9014802 0.88026524 0.8794085 0.92671967
8.0 5.0 0.9014802 0.9014802 0.8828435 0.88176936 0.8834764
8.0 7.0 0.9014802 0.9014802 0.8813278 0.8810355 0.88402367
6.0 19.0 0.9014802 0.9014802 0.880431 0.8800381 0.9173977
17.0 7.0 0.9179398 0.9179398 0.89340514 0.8933048 0.8967759
12.0 20.0 0.9014802 0.9014802 0.88018197 0.87970287 0.9261858
17.0 6.0 0.9179398 0.9179398 0.89347744 0.8933837 0.8960066
17.0 16.0 0.9179398 0.9179398 0.892904 0.89296895 0.9150979
17.0 15.0 0.9179398 0.9179398 0.89265597 0.892749 0.9112824
8.0 3.0 0.9014802 0.9014802 0.88639814 0.8846199 0.8842517
8.0 4.0 0.9014802 0.9014802 0.88397247 0.88288516 0.8834201
9.0 9.0 0.9014802 0.9014802 0.8809571 0.88050735 0.8852378
9.0 11.0 0.9014802 0.9014802 0.88042295 0.8802105 0.88730747
9.0 6.0 0.9014802 0.9014802 0.88129264 0.88100374 0.8833145
8.0 13.0 0.9014802 0.9014802 0.8803048 0.88039696 0.8917273
9.0 12.0 0.9014802 0.9014802 0.88045895 0.88033617 0.8896162
10.0 18.0 0.9014802 0.9014802 0.8796565 0.879628 0.9108653
10.0 8.0 0.9014802 0.9014802 0.88114184 0.8804984 0.8839614
10.0 7.0 0.9014802 0.9014802 0.88100815 0.88051593 0.88404703
17.0 5.0 0.9179398 0.9179398 0.8935897 0.8932873 0.89560395
1.0 10.0 0.9014802 0.9014802 0.8978136 0.8941337 0.9094523
10.0 5.0 0.9014802 0.9014802 0.88185894 0.8809783 0.88331664
9.0 13.0 0.9014802 0.9014802 0.88046616 0.880305 0.8916232
17.0 4.0 0.9179398 0.9179398 0.8939066 0.8934457 0.8951128
10.0 19.0 0.9014802 0.9014802 0.8801338 0.87984705 0.9182375
10.0 2.0 0.9014802 0.9014802 0.8879427 0.8860896 0.8853122
10.0 4.0 0.9014802 0.9014802 0.88261235 0.88152426 0.88302594
10.0 3.0 0.9014802 0.9014802 0.8844782 0.88327616 0.88307065
10.0 16.0 0.9014802 0.9014802 0.88026506 0.87981975 0.9013071
10.0 15.0 0.9014802 0.9014802 0.87981004 0.8798194 0.8975371
9.0 5.0 0.9014802 0.9014802 0.88214815 0.881242 0.88309413
17.0 3.0 0.9179398 0.9179398 0.89425534 0.89351356 0.8950677
14.0 20.0 0.9014802 0.9014802 0.88014996 0.8797611 0.92584383
10.0 17.0 0.9014802 0.9014802 0.8801069 0.8800276 0.90533
17.0 2.0 0.9179398 0.9179398 0.8960595 0.8953826 0.8955576
1.0 4.0 0.9014802 0.9014802 0.9088601 0.89661276 0.91096956
9.0 4.0 0.9014802 0.9014802 0.8832552 0.88230354 0.8835656
2.0 4.0 0.9014802 0.9014802 0.8994374 0.89661074 0.8968722
4.0 18.0 0.90442526 0.90442526 0.88244534 0.8814205 0.9143111
3.0 14.0 0.90442526 0.90442526 0.8837837 0.8827631 0.8982612
3.0 12.0 0.90442526 0.90442526 0.88470775 0.88318044 0.8928108
11.0 2.0 0.9014802 0.9014802 0.8869909 0.8856252 0.8842344
18.0 16.0 0.9179398 0.9179398 0.89296687 0.893081 0.9148946
4.0 16.0 0.90442526 0.90442526 0.8829487 0.8817557 0.9044461
11.0 4.0 0.9014802 0.9014802 0.88232726 0.88113195 0.8827907
18.0 15.0 0.9179398 0.9179398 0.892612 0.8927287 0.911188
4.0 20.0 0.90442526 0.90442526 0.8820273 0.8813969 0.9301794
3.0 18.0 0.90442526 0.90442526 0.8830533 0.8812393 0.9152851
1.0 2.0 0.9014802 0.9014802 0.9148612 0.8928088 0.9240793
4.0 14.0 0.90442526 0.90442526 0.8828379 0.8818159 0.8968762
4.0 6.0 0.90442526 0.90442526 0.88812333 0.8853469 0.886409
4.0 12.0 0.90442526 0.90442526 0.8832671 0.88248146 0.8918335
11.0 3.0 0.9014802 0.9014802 0.8838466 0.882397 0.88324845
4.0 4.0 0.90442526 0.90442526 0.8923041 0.88976353 0.8897179
4.0 1.0 0.90442526 0.90442526 0.9044034 0.9046012 0.9080822
4.0 2.0 0.90442526 0.90442526 0.8996703 0.899336 0.8973118
5.0 2.0 0.90442526 0.90442526 0.89808875 0.8966891 0.89433396
2.0 7.0 0.9014802 0.9014802 0.89304304 0.89018595 0.8926172
13.0 1.0 0.9014802 0.9014802 0.8933964 0.8914612 0.8884977
2.0 3.0 0.9014802 0.9014802 0.90135443 0.89884484 0.90081656
4.0 13.0 0.90442526 0.90442526 0.88324356 0.88206357 0.89515465
4.0 17.0 0.90442526 0.90442526 0.88253343 0.88167256 0.9091768
4.0 15.0 0.90442526 0.90442526 0.8825716 0.88192004 0.90059835
5.0 5.0 0.9014802 0.9014802 0.8858425 0.8845666 0.8849696
7.0 16.0 0.9014802 0.9014802 0.88054925 0.8799224 0.90131646
3.0 8.0 0.9014802 0.9014802 0.88654405 0.88398445 0.8874858
5.0 3.0 0.90442526 0.90442526 0.8927431 0.8908636 0.89001083
8.0 19.0 0.90442526 0.90442526 0.88174945 0.88164616 0.9202064
9.0 3.0 0.9014802 0.9014802 0.8853506 0.8837759 0.88363296
5.0 8.0 0.9014802 0.9014802 0.8830907 0.88147247 0.8848813
8.0 17.0 0.90442526 0.90442526 0.88155115 0.88121766 0.9076002
5.0 16.0 0.9014802 0.9014802 0.8808203 0.88011074 0.9018005
5.0 1.0 0.90442526 0.90442526 0.9034606 0.9036535 0.90626085
16.0 11.0 0.9014802 0.9014802 0.88019264 0.8800515 0.88718665
7.0 13.0 0.9014802 0.9014802 0.88040525 0.88050634 0.8923464
16.0 12.0 0.9014802 0.9014802 0.88020355 0.88019335 0.88953173
8.0 1.0 0.9014802 0.9014802 0.89860475 0.8976289 0.89359
4.0 19.0 0.90442526 0.90442526 0.8824946 0.8819596 0.9213861
19.0 7.0 0.9014802 0.9014802 0.8803054 0.88040227 0.8831768
6.0 20.0 0.9014802 0.9014802 0.8803185 0.8794211 0.92699337
7.0 6.0 0.9014802 0.9014802 0.8822939 0.8817749 0.88396204
7.0 12.0 0.9014802 0.9014802 0.88071156 0.88047636 0.88994443
7.0 1.0 0.9014802 0.9014802 0.899796 0.89902294 0.89384615
16.0 10.0 0.9014802 0.9014802 0.8802295 0.8801552 0.8865639
6.0 8.0 0.9014802 0.9014802 0.8825038 0.88132936 0.8843088
8.0 18.0 0.90442526 0.90442526 0.8820604 0.8816307 0.9132787
17.0 19.0 0.9014802 0.9014802 0.88010776 0.8797762 0.91704065
6.0 9.0 0.9014802 0.9014802 0.88176715 0.88069284 0.8851512
8.0 11.0 0.9014802 0.9014802 0.8805019 0.88031566 0.8875095
8.0 12.0 0.9014802 0.9014802 0.88047445 0.88045156 0.8895804
9.0 14.0 0.9014802 0.9014802 0.88015556 0.8800853 0.8946166
13.0 2.0 0.9014802 0.9014802 0.88554543 0.88423455 0.88352424
9.0 17.0 0.9014802 0.9014802 0.8802334 0.8800384 0.90478593
18.0 1.0 0.9014802 0.9014802 0.88891506 0.8877222 0.8840407
6.0 1.0 0.90442526 0.90442526 0.9022106 0.90266484 0.904168
9.0 1.0 0.90442526 0.90442526 0.89935094 0.89837664 0.89165527
19.0 17.0 0.9014802 0.9014802 0.879957 0.8799609 0.90510356
20.0 17.0 0.9014802 0.9014802 0.88002336 0.8799056 0.9048193
9.0 19.0 0.9014802 0.9014802 0.8800887 0.87996864 0.9177047
9.0 15.0 0.9014802 0.9014802 0.87992513 0.8798772 0.8978716
9.0 18.0 0.9014802 0.9014802 0.8797681 0.8795587 0.91101724
7.0 15.0 0.9014802 0.9014802 0.8801901 0.8799599 0.89776164
10.0 6.0 0.9014802 0.9014802 0.88107145 0.8809744 0.8837474
13.0 11.0 0.9014802 0.9014802 0.8802465 0.8801449 0.8880294
10.0 13.0 0.9014802 0.9014802 0.8804264 0.8803295 0.8915845
9.0 16.0 0.9014802 0.9014802 0.88040245 0.879828 0.9012707
8.0 2.0 0.9014802 0.9014802 0.89050627 0.8892026 0.88655025
3.0 20.0 0.90442526 0.90442526 0.88269776 0.8817913 0.93161917
10.0 9.0 0.9014802 0.9014802 0.88087475 0.8804802 0.8853679
7.0 11.0 0.9014802 0.9014802 0.8806437 0.88034755 0.8880396
10.0 14.0 0.9014802 0.9014802 0.8802112 0.880215 0.89458436
8.0 20.0 0.9014802 0.9014802 0.8801815 0.87930715 0.9267067
10.0 11.0 0.9014802 0.9014802 0.88033277 0.8801967 0.8878253
10.0 10.0 0.9014802 0.9014802 0.88037777 0.88030374 0.8861845
3.0 17.0 0.90442526 0.90442526 0.8831953 0.88207865 0.9095405
15.0 1.0 0.90442526 0.90442526 0.893013 0.89065015 0.8865603
5.0 6.0 0.9014802 0.9014802 0.8844431 0.88271743 0.88471013
9.0 8.0 0.9014802 0.9014802 0.8809373 0.8807138 0.8843074
3.0 15.0 0.90442526 0.90442526 0.88352984 0.8824533 0.9020729
10.0 1.0 0.9014802 0.9014802 0.8961447 0.8943723 0.88840884
10.0 12.0 0.9014802 0.9014802 0.8803873 0.8802902 0.8897389
5.0 15.0 0.9014802 0.9014802 0.8806775 0.88003427 0.8978561
5.0 4.0 0.9014802 0.9014802 0.8880556 0.8858632 0.8853658
6.0 5.0 0.9014802 0.9014802 0.88444346 0.8826763 0.88414985
6.0 18.0 0.9014802 0.9014802 0.88026226 0.8799461 0.91098326
3.0 13.0 0.90442526 0.90442526 0.88438654 0.8827974 0.89600265
4.0 7.0 0.90442526 0.90442526 0.88666534 0.88445675 0.88678896
4.0 5.0 0.90442526 0.90442526 0.8897606 0.8873022 0.88768405
6.0 17.0 0.9014802 0.9014802 0.88036597 0.8801829 0.9049431
2.0 2.0 0.9014802 0.9014802 0.9044663 0.9001287 0.9066316
11.0 1.0 0.9014802 0.9014802 0.8949758 0.8939916 0.8875392
7.0 14.0 0.9014802 0.9014802 0.88039637 0.88026494 0.8949739
13.0 12.0 0.9014802 0.9014802 0.8802341 0.8800686 0.8898784
4.0 3.0 0.90442526 0.90442526 0.8956927 0.8944739 0.8930618
6.0 3.0 0.9014802 0.9014802 0.8891851 0.88725793 0.8859867
12.0 10.0 0.9014802 0.9014802 0.8802576 0.8802004 0.88636434
12.0 1.0 0.9014802 0.9014802 0.8941952 0.8931616 0.88785267
2.0 5.0 0.9014802 0.9014802 0.89637345 0.8936426 0.89511806
2.0 8.0 0.9014802 0.9014802 0.8914833 0.8887631 0.8921148
15.0 10.0 0.9014802 0.9014802 0.8802371 0.88018847 0.8864566
9.0 2.0 0.9014802 0.9014802 0.88905066 0.88676023 0.88592833
3.0 19.0 0.90442526 0.90442526 0.88329583 0.8816765 0.9221813
17.0 10.0 0.90442526 0.90442526 0.88183963 0.8815991 0.8879159
11.0 5.0 0.90442526 0.90442526 0.8830053 0.88216287 0.88449985
9.0 7.0 0.9014802 0.9014802 0.88124835 0.88081455 0.88392305
17.0 20.0 0.9014802 0.9014802 0.88014734 0.8797148 0.92656267
20.0 7.0 0.9014802 0.9014802 0.8803183 0.88044024 0.8833294
18.0 9.0 0.9179398 0.9179398 0.89321744 0.8929313 0.89818364
17.0 11.0 0.9014802 0.9014802 0.88017255 0.8800885 0.8877989
20.0 15.0 0.9179398 0.9179398 0.8925799 0.892752 0.9112089
15.0 2.0 0.90442526 0.90442526 0.88575697 0.88454354 0.8840235
13.0 5.0 0.9179398 0.9179398 0.8939482 0.8932117 0.895624
12.0 4.0 0.9179398 0.9179398 0.8947178 0.8938445 0.8952295
12.0 5.0 0.9179398 0.9179398 0.8940851 0.89353085 0.89571106
12.0 6.0 0.9179398 0.9179398 0.8943346 0.8933587 0.89621294
12.0 3.0 0.9179398 0.9179398 0.895596 0.8944691 0.89559716
13.0 4.0 0.9179398 0.9179398 0.89450914 0.89353496 0.89549387
20.0 3.0 0.9179398 0.9179398 0.8938743 0.8932177 0.89461315
13.0 3.0 0.9179398 0.9179398 0.89552367 0.894153 0.89550817
18.0 10.0 0.9179398 0.9179398 0.8929268 0.89283097 0.8992399
14.0 14.0 0.9179398 0.9179398 0.892581 0.8929405 0.9077753
14.0 15.0 0.9179398 0.9179398 0.89263284 0.8928692 0.91132295
14.0 13.0 0.9179398 0.9179398 0.89281255 0.89306355 0.9053401
14.0 12.0 0.9179398 0.9179398 0.8931335 0.89292365 0.903271
15.0 7.0 0.9179398 0.9179398 0.8934485 0.8933775 0.8965937
15.0 8.0 0.9179398 0.9179398 0.89322436 0.89320576 0.8972784
16.0 20.0 0.9179398 0.9179398 0.89259565 0.8925707 0.9405114
16.0 9.0 0.9179398 0.9179398 0.89325523 0.8930847 0.89802897
15.0 9.0 0.9179398 0.9179398 0.893288 0.89305127 0.89798105
15.0 11.0 0.9179398 0.9179398 0.8930508 0.8929714 0.9010593
16.0 8.0 0.9179398 0.9179398 0.89314336 0.89321727 0.8972772
9.0 20.0 0.9014802 0.9014802 0.8802961 0.8796838 0.9264854
18.0 17.0 0.9179398 0.9179398 0.8927952 0.89294034 0.91964835
18.0 18.0 0.9179398 0.9179398 0.8928663 0.8929186 0.9253608
18.0 11.0 0.9179398 0.9179398 0.8930203 0.89291394 0.9009477
18.0 12.0 0.9179398 0.9179398 0.8930515 0.89297867 0.90292037
19.0 6.0 0.9179398 0.9179398 0.8933943 0.8933114 0.89592236
18.0 14.0 0.9179398 0.9179398 0.89256656 0.8930632 0.9078373
18.0 19.0 0.9179398 0.9179398 0.89276993 0.89274657 0.9314245
18.0 20.0 0.9179398 0.9179398 0.89260215 0.8925563 0.94082135
18.0 13.0 0.9179398 0.9179398 0.89276826 0.89305955 0.9054408
11.0 20.0 0.9014802 0.9014802 0.8801862 0.8796895 0.92686033
