lengthscale l2regularizer rmse_mean rmse_median rmse_std pi_cov pi_sum
0.8 0.95 0.97153157 0.827582 0.4675543 0.9215686274509803 47
0.6 0.15 0.9407729 0.7369276 0.48753965 0.9411764705882353 48
0.35 0.85 0.9217189 0.78603363 0.42401212 0.9607843137254902 49
0.1 0.25 1.1854036 1.0086937 0.5628188 0.9019607843137255 46
0.4 0.15 0.92554235 0.8140514 0.42368189 0.9607843137254902 49
0.4 0.2 0.92586297 0.8150589 0.42269334 0.9607843137254902 49
0.05 1.0 1.2608446 0.9914851 0.61999494 0.9019607843137255 46
0.05 0.5 1.2325344 0.90196204 0.62444776 0.9019607843137255 46
0.35 0.9 0.91982794 0.77836835 0.42460334 0.9411764705882353 48
1.0 0.2 0.9956316 0.855461 0.4552131 0.9215686274509803 47
0.95 0.05 0.9961914 0.85517806 0.45428208 0.9215686274509803 47
0.05 0.35 1.2436432 0.9625156 0.6246862 0.9215686274509803 47
0.05 0.2 1.2144951 0.9189271 0.60437465 0.9019607843137255 46
0.05 0.1 1.2263052 0.945675 0.5961505 0.9019607843137255 46
0.05 0.15 1.2526373 1.0105891 0.61120224 0.8823529411764706 45
0.05 0.55 1.236443 0.950606 0.61367595 0.9019607843137255 46
0.05 0.4 1.2557148 0.9924769 0.6573829 0.9019607843137255 46
0.2 0.45 0.9947897 0.8457521 0.45619237 0.8823529411764706 45
0.25 0.75 0.90831006 0.76397717 0.44217494 0.9411764705882353 48
0.25 0.4 0.90159357 0.73421144 0.4511266 0.9411764705882353 48
0.25 0.1 0.92092323 0.8121701 0.44821525 0.9215686274509803 47
0.25 0.25 0.9221443 0.7927996 0.46330446 0.9215686274509803 47
0.25 0.05 0.9129306 0.79688805 0.44632122 0.9215686274509803 47
0.25 0.35 0.90890706 0.7807659 0.4559413 0.9411764705882353 48
0.2 1.0 0.97440183 0.8177147 0.46712118 0.9215686274509803 47
0.45 0.15 0.89211667 0.73853314 0.44100878 0.9607843137254902 49
0.25 0.3 0.9202121 0.8037498 0.4536724 0.9215686274509803 47
0.25 0.5 0.9221115 0.79396814 0.4417742 0.9019607843137255 46
0.45 0.05 0.9066666 0.7632427 0.4319392 0.9607843137254902 49
0.2 0.9 0.98650235 0.79562306 0.46577793 0.9019607843137255 46
0.25 0.15 0.9534259 0.7958164 0.4289699 0.9019607843137255 46
0.05 0.05 1.2256708 0.97152376 0.56298244 0.9019607843137255 46
0.25 0.8 0.9130804 0.78348404 0.4432077 0.9411764705882353 48
0.05 0.25 1.2268547 0.9755144 0.5986843 0.9019607843137255 46
0.25 0.55 0.91933745 0.7587663 0.44398305 0.9019607843137255 46
0.25 0.7 0.9067376 0.76591086 0.44502375 0.9411764705882353 48
0.25 0.6 0.9219581 0.78696567 0.43690717 0.9215686274509803 47
0.2 0.95 0.9917759 0.80958337 0.46385694 0.9019607843137255 46
0.45 0.2 0.8882081 0.74193054 0.4436405 0.9607843137254902 49
0.45 0.1 0.8887466 0.73944104 0.44271147 0.9607843137254902 49
0.25 0.65 0.95308983 0.7609029 0.4229439 0.9215686274509803 47
0.05 0.75 1.2275994 0.9219041 0.61716974 0.9019607843137255 46
0.25 0.45 0.9140627 0.7734417 0.45055673 0.9019607843137255 46
0.25 0.2 0.9225237 0.7905718 0.4414469 0.9215686274509803 47
0.2 0.85 1.0127752 0.82237744 0.43748382 0.9215686274509803 47
0.1 0.15 1.1864312 1.0207415 0.56232923 0.9019607843137255 46
0.2 0.7 0.9868952 0.825696 0.4537606 0.9019607843137255 46
0.15 0.7 0.9682581 0.7871887 0.472931 0.9411764705882353 48
0.05 0.9 1.24782 0.9259869 0.6258404 0.9019607843137255 46
0.05 0.7 1.2553667 0.9613928 0.6056277 0.8823529411764706 45
0.05 0.6 1.2614443 0.9398391 0.62638533 0.9019607843137255 46
0.4 0.95 0.91155195 0.7854026 0.43396938 0.9607843137254902 49
0.55 0.25 0.913777 0.7374027 0.48500833 0.9607843137254902 49
0.25 0.85 0.9267171 0.8046659 0.46071482 0.9215686274509803 47
0.3 0.7 0.90194064 0.7807159 0.4363787 0.9215686274509803 47
0.35 0.35 0.9261489 0.7994692 0.42193303 0.9411764705882353 48
0.35 0.45 0.9996629 0.82739496 0.45349488 0.9411764705882353 48
0.35 0.15 0.9280332 0.80290604 0.42103374 0.9411764705882353 48
0.3 0.9 0.8935131 0.7551116 0.44119117 0.9607843137254902 49
0.3 0.75 0.90054303 0.7793752 0.43691388 0.9607843137254902 49
0.3 0.95 0.8939985 0.7559729 0.44207016 0.9803921568627451 50
