lengthscale l2regularizer bma_rmse_mean bma_rmse_median bma_std bma_cov nll_bma_mean nll_bma_median bae_rmse_mean bae_rmse_median bae_std bae_cov nll_bae_mean nll_bae_median
0.1 0.95 0.9029053 0.8482193 0.392857 0.9215686274509803 1.0760845 0.9210433 2.0477388 2.0703812 0.7136484 0.9019607843137255 1.2620937 0.96527153
0.05 4.85 0.90277725 0.8480191 0.39299548 0.9215686274509803 1.076507 0.9211427 1.031443 1.0172911 0.46817762 0.9803921568627451 1.0554928 0.99006367
0.05 4.7 0.90285 0.8481202 0.3930683 0.9215686274509803 1.0764416 0.9211366 1.0313064 1.0188723 0.47464648 0.9803921568627451 1.0560242 0.99184
0.1 0.9 0.90289354 0.8482145 0.39284116 0.9215686274509803 1.0761207 0.9210427 2.0971174 1.9512863 0.72455466 0.9019607843137255 1.2940367 0.959125
0.05 4.6 0.9028475 0.848119 0.3930799 0.9215686274509803 1.0764135 0.921114 1.0336412 1.0177443 0.47390097 0.9803921568627451 1.0542698 0.9904121
0.1 1.05 0.9028265 0.84797394 0.39288303 0.9215686274509803 1.0760871 0.9210446 1.9354647 1.9461669 0.65683913 0.9019607843137255 1.2841226 0.9653293
0.1 1.0 0.90290457 0.8482195 0.3928577 0.9215686274509803 1.0760854 0.9210439 1.9807391 1.9705739 0.66965425 0.9019607843137255 1.2829636 0.95513433
0.1 0.5 0.90289617 0.84820557 0.39286166 0.9215686274509803 1.0761204 0.921069 2.74679 2.6316214 1.1684269 0.8823529411764706 1.2573255 1.002025
0.1 0.45 0.90288454 0.8481972 0.39285958 0.9215686274509803 1.07613 0.92106855 2.8918493 2.9693966 1.1900707 0.8627450980392157 1.2746717 1.0474044
0.1 0.85 0.9028979 0.8482071 0.3928706 0.9215686274509803 1.0761214 0.92106247 2.1845276 2.0827215 0.80670834 0.8823529411764706 1.3529282 0.9462104
0.1 1.25 0.9028531 0.84797555 0.39287335 0.9215686274509803 1.0760945 0.9210417 1.7461678 1.5906701 0.5995519 0.9019607843137255 1.349286 0.9666356
0.1 1.1 0.9028352 0.84797406 0.39290354 0.9215686274509803 1.076093 0.9210564 1.8588406 1.8653164 0.6343134 0.9019607843137255 1.3602039 0.9772773
0.05 4.75 0.90284735 0.8480383 0.39304167 0.9215686274509803 1.0765169 0.92113996 1.0307628 1.0186414 0.47303694 0.9803921568627451 1.0572945 0.99222195
0.05 4.65 0.90284246 0.8481157 0.39303955 0.9215686274509803 1.0764282 0.9211558 1.0310391 1.0172017 0.4723113 0.9803921568627451 1.0545653 0.9889629
0.1 0.75 0.90289 0.84818995 0.39285365 0.9215686274509803 1.0761251 0.92106783 2.277476 2.0936687 0.9241632 0.8823529411764706 1.2885607 0.8914485
0.1 0.2 0.9027877 0.84794927 0.39304337 0.9215686274509803 1.0761576 0.92107916 3.3434937 3.403176 1.4867692 0.8627450980392157 1.3540086 1.0852258
0.1 0.1 2085413800.0 1883367300.0 455445380.0 0.9019607843137255 1.0372133 0.96541095 3.446893 3.4302115 1.5440423 0.8627450980392157 1.3847984 1.1903635
0.1 3.3 0.90268475 0.8481283 0.3930105 0.9215686274509803 1.0762877 0.92104256 1.2199723 1.1611148 0.38158074 0.9607843137254902 1.1980416 1.135474
0.1 3.25 0.9028499 0.8479462 0.3931925 0.9215686274509803 1.0762466 0.9210852 1.213317 1.172525 0.3917786 0.9607843137254902 1.2045684 1.1510721
0.1 3.35 0.9026529 0.8480028 0.3930083 0.9215686274509803 1.0768809 0.9210447 1.2042323 1.1470139 0.38216904 0.9607843137254902 1.186345 1.1070629
0.1 3.55 0.9027508 0.8479716 0.39296067 0.9215686274509803 1.0768608 0.92107147 1.186759 1.1339486 0.37398165 0.9607843137254902 1.2016138 1.0997317
0.1 0.7 0.9028924 0.84819853 0.39285314 0.9215686274509803 1.076125 0.92107093 2.3722441 2.2794757 0.9290624 0.8823529411764706 1.2974137 0.9768321
0.1 0.65 0.9028926 0.8481984 0.39285323 0.9215686274509803 1.0761234 0.9210703 2.450397 2.4101162 0.96882087 0.8823529411764706 1.2796886 0.9381367
0.1 1.8 0.9028376 0.84783673 0.39318383 0.9215686274509803 1.0765635 0.92095757 1.4421495 1.3422139 0.5716988 0.9803921568627451 1.0776578 1.0954419
0.1 1.4 0.9028279 0.847874 0.3931358 0.9215686274509803 1.07669 0.9209802 1.626202 1.4438947 0.59735334 0.9411764705882353 1.2801919 1.0244113
0.1 1.85 0.902838 0.84783655 0.39318267 0.9215686274509803 1.0765657 0.92095876 1.4221092 1.3217676 0.57257706 0.9803921568627451 1.0638074 1.0392752
0.1 0.6 0.90289885 0.8481975 0.3928661 0.9215686274509803 1.0761257 0.9210576 2.5001035 2.4563737 1.0302826 0.8823529411764706 1.3362709 1.0390193
0.1 1.45 0.9028082 0.8478357 0.39314732 0.9215686274509803 1.0765532 0.92096925 1.6071955 1.4411511 0.5794884 0.9411764705882353 1.2598815 1.0499337
0.1 4.7 0.90285 0.8481202 0.3930683 0.9215686274509803 1.0764416 0.9211366 1.1000553 1.0320358 0.34495476 0.9607843137254902 1.2323972 1.0940948
0.1 1.5 0.9028067 0.84783554 0.39313173 0.9215686274509803 1.0765585 0.92097694 1.5598909 1.4044712 0.58167374 0.9411764705882353 1.2068183 1.0354176
0.1 4.15 0.90283775 0.8479003 0.3931996 0.9215686274509803 1.0772485 0.92224336 1.1386367 1.0593877 0.35741818 0.9607843137254902 1.2169551 1.1059011
0.1 1.55 0.90279406 0.84783506 0.39314523 0.9215686274509803 1.0765562 0.9209776 1.5273045 1.3615677 0.6017445 0.9411764705882353 1.135496 1.0408897
0.1 1.6 0.9028166 0.8478362 0.39313808 0.9215686274509803 1.0765641 0.9209932 1.5082608 1.3723841 0.5952184 0.9411764705882353 1.1281189 1.0627136
0.1 1.65 0.90281695 0.84783673 0.39313745 0.9215686274509803 1.0765632 0.9209819 1.4995776 1.3660661 0.5768261 0.9411764705882353 1.1288882 1.0662448
