lengthscale l2regularizer bma_mean_rmse_mean bma_mean_rmse_median bma_mean_std bma_mean_cov bma_rmse_mean bma_rmse_median bma_std bma_cov bae_rmse_mean bae_rmse_median bae_std bae_cov
0.1 0.4 1.1114099 0.9576362 0.43720397 0.9019607843137255 1.0879952 0.93239504 0.43730506 0.9215686274509803 2.580443 2.8402584 0.90353256 0.9019607843137255
0.2 0.45 0.9025175 0.810364 0.3663475 0.8627450980392157 0.88885117 0.7947416 0.36090496 0.8627450980392157 2.5447555 2.7434692 0.89734405 0.9019607843137255
0.15 0.65 0.9494726 0.84975106 0.4080263 0.8823529411764706 0.93580645 0.81000113 0.40263245 0.8823529411764706 2.7319427 2.9236183 1.0090618 0.8823529411764706
0.15 0.75 0.94501466 0.7936353 0.43498048 0.8823529411764706 0.9324549 0.7687824 0.42936084 0.8823529411764706 2.773957 2.9885988 1.0372959 0.9019607843137255
0.15 0.7 0.9645465 0.86231196 0.43371788 0.8823529411764706 0.9511482 0.824224 0.42807907 0.9019607843137255 2.7919936 2.9781241 1.0544729 0.9215686274509803
0.1 0.5 1.1462033 0.97672224 0.4496855 0.8627450980392157 1.1259766 0.95802474 0.4470892 0.9019607843137255 2.6739354 2.978057 0.9270466 0.9215686274509803
0.2 0.35 0.9096879 0.7935958 0.3725279 0.8627450980392157 0.8964508 0.7798562 0.36691174 0.8431372549019608 2.4494355 2.6349442 0.8634375 0.9411764705882353
0.15 0.85 0.9366498 0.7912072 0.4224483 0.9019607843137255 0.9243531 0.77817434 0.41796777 0.8823529411764706 2.8429074 2.935793 1.0406078 0.9215686274509803
0.2 0.2 0.929358 0.7963349 0.46675053 0.8823529411764706 0.91018295 0.7703178 0.4645619 0.8627450980392157 2.1938355 2.238541 0.8120835 0.9411764705882353
0.1 0.45 1.1520427 1.0686759 0.4752622 0.9215686274509803 1.1299722 1.0338664 0.47393078 0.9215686274509803 2.7223575 3.0402946 0.916529 0.9019607843137255
0.2 0.6 0.8855565 0.83895916 0.389622 0.8627450980392157 0.87203443 0.82224935 0.38470164 0.8627450980392157 2.6399286 2.728283 0.9806306 0.9019607843137255
0.05 0.7 1.1566689 0.9910671 0.66499186 0.8627450980392157 1.134048 0.97802365 0.67055404 0.9019607843137255 2.9324517 3.0039866 0.92779547 0.9019607843137255
0.15 0.95 0.9270359 0.79149216 0.42545947 0.9019607843137255 0.9149721 0.78004706 0.42014346 0.8823529411764706 2.8540654 3.0474129 1.0298328 0.9215686274509803
0.2 0.75 0.8601737 0.82817066 0.36624578 0.8627450980392157 0.8474081 0.8177987 0.3624336 0.8627450980392157 2.6799467 2.8843098 0.97251713 0.8823529411764706
0.2 0.15 0.95113885 0.80571425 0.4753798 0.8823529411764706 0.93223554 0.7785566 0.47125614 0.8627450980392157 2.07126 2.0543747 0.82957643 0.9607843137254902
0.2 0.85 0.85971344 0.83282816 0.36532488 0.8627450980392157 0.84665376 0.8238679 0.36257213 0.8627450980392157 2.734522 2.9978247 0.9592504 0.9215686274509803
0.2 0.8 0.85954493 0.832942 0.3618255 0.8823529411764706 0.8458554 0.8237444 0.36017713 0.8823529411764706 2.702764 2.8762755 0.9851391 0.9019607843137255
0.2 0.3 0.9291786 0.8319533 0.3477034 0.8627450980392157 0.91546094 0.7930546 0.3405258 0.8431372549019608 2.3846457 2.5223503 0.85453165 0.9411764705882353
