lengthscale l2regularizer rmse_mean rmse_median rmse_std pi_cov pi_sum nll_mean nll_median nll_std
0.55 0.55 1.088843 0.930874 0.553935 0.960784 49 1.010558 1.066695 0.142007
0.55 0.60 1.113265 1.006761 0.549009 0.980392 50 1.004029 1.022911 0.134960
0.55 0.65 1.080657 0.939288 0.547723 0.980392 50 1.015731 1.060145 0.142757
0.55 0.70 1.083616 0.994941 0.541510 0.980392 50 1.010709 0.998894 0.137955
0.55 0.75 1.067433 0.957784 0.548563 0.960784 49 1.027811 1.038442 0.141271
0.55 0.80 1.091481 0.938177 0.548500 0.960784 49 1.013771 1.048104 0.144457
0.55 0.85 1.090790 0.984596 0.552379 0.960784 49 1.017174 1.070473 0.148846
0.55 0.90 1.084242 1.014984 0.548979 0.980392 50 0.997250 0.994403 0.134892
0.55 0.95 1.072874 0.986898 0.542913 0.960784 49 1.020076 1.039020 0.133622
0.55 1.00 1.098271 0.988447 0.553757 0.980392 50 1.006353 1.027793 0.142863
0.60 0.05 1.093554 0.979896 0.544153 0.980392 50 1.000662 0.997544 0.150380
0.60 0.10 1.097538 0.980337 0.538277 0.980392 50 1.008675 1.004616 0.161033
0.60 0.15 1.089844 0.948755 0.537774 0.980392 50 1.015151 1.043968 0.152798
0.60 0.20 1.117142 0.971027 0.549400 0.980392 50 1.005901 1.013717 0.144115
0.60 0.25 1.095846 0.996756 0.528407 0.980392 50 0.997721 0.990383 0.145665
0.60 0.30 1.080707 0.993696 0.523835 0.980392 50 1.002428 0.997880 0.155843
0.60 0.35 1.111482 0.967167 0.550428 0.980392 50 1.009513 1.009239 0.152852
0.60 0.40 1.100261 1.008483 0.543167 0.980392 50 0.998701 0.998072 0.151665
0.60 0.45 1.100572 0.975311 0.539991 0.980392 50 1.017792 1.030378 0.154943
0.60 0.50 1.085048 1.000169 0.531568 0.980392 50 1.004331 0.997289 0.150971
0.60 0.55 1.101350 0.959080 0.523096 0.980392 50 1.007432 1.011893 0.147312
0.60 0.60 1.108654 0.981137 0.541616 0.980392 50 1.008587 0.995208 0.158350
0.60 0.65 1.089357 0.985915 0.529332 0.980392 50 1.001147 1.006004 0.148961
0.60 0.70 1.098872 0.973852 0.534128 0.980392 50 1.006369 0.988825 0.152203
