lengthscale l2regularizer rmse_mean rmse_std pi_cov pi_sum
0.215 0.4 2.1553767 0.96859807 0.9607843137254902 49
0.215 0.6 2.6064403 1.6725783 0.9411764705882353 48
0.225 0.65 2.0299723 1.124855 0.9411764705882353 48
0.255 0.2 2.317052 2.0103526 0.9607843137254902 49
0.225 0.75 2.1362708 1.1955653 0.9215686274509803 47
0.235 0.1 2.1629796 1.0826367 0.9607843137254902 49
0.24 0.85 1.982551 1.486206 0.9803921568627451 50
0.21 0.95 2.3684776 1.29878 0.9803921568627451 50
0.235 0.9 2.1553578 1.511905 0.9607843137254902 49
0.225 0.15 2.3200355 1.7436236 0.9215686274509803 47
0.23 0.9 2.3647923 1.610927 0.9215686274509803 47
0.235 0.6 2.0540524 1.2276139 0.9803921568627451 50
0.215 0.5 2.2633138 1.7251033 0.9215686274509803 47
0.225 0.45 2.0269647 1.1062397 0.9411764705882353 48
0.225 0.5 2.4147086 1.7866778 0.9607843137254902 49
0.225 0.85 2.2593393 1.5799954 0.9803921568627451 50
0.225 0.35 2.2571144 1.5649533 0.9411764705882353 48
0.22 0.65 2.3056846 1.365063 0.9019607843137255 46
0.235 0.55 1.9712648 1.2915331 0.9215686274509803 47
0.225 0.95 2.6766918 1.5453461 0.9019607843137255 46
0.245 0.6 2.3281136 1.6723871 0.9411764705882353 48
0.215 0.95 2.5181038 1.4299381 0.9411764705882353 48
0.23 0.05 2.2865489 1.4538499 0.9411764705882353 48
0.22 0.1 2.3824594 1.6351994 0.9607843137254902 49
0.23 0.3 2.352457 1.3542248 0.9215686274509803 47
0.24 0.2 2.0761313 1.5326449 0.9607843137254902 49
0.215 0.75 2.351706 1.5884246 0.9607843137254902 49
0.24 0.3 1.9131588 1.234476 0.9215686274509803 47
0.21 1.0 2.7672987 1.3553694 0.9411764705882353 48
0.245 0.2 2.1216104 1.4038736 0.9411764705882353 48
0.225 1.0 2.4276254 1.6982598 0.9411764705882353 48
0.255 0.35 2.2235518 1.3240856 0.9411764705882353 48
0.255 0.25 2.4152336 1.6723634 0.9411764705882353 48
0.23 0.4 2.102689 1.1319703 0.9411764705882353 48
0.23 0.8 2.50736 1.3151697 0.9411764705882353 48
0.225 0.1 2.130143 1.2986726 0.8823529411764706 45
0.23 0.95 2.2866223 1.4247313 0.9411764705882353 48
0.235 0.65 2.026645 1.2723181 0.9607843137254902 49
0.22 0.95 2.462873 1.1927019 0.9215686274509803 47
0.235 0.8 2.276136 1.3476344 0.9803921568627451 50
0.225 0.8 2.2288265 0.98224163 0.9411764705882353 48
0.23 0.55 2.1828942 1.3628393 0.9411764705882353 48
0.215 0.7 2.4267478 1.6230072 0.9607843137254902 49
0.23 1.0 2.2094824 1.1934662 0.9607843137254902 49
0.215 0.9 2.2492406 1.3621651 0.9607843137254902 49
0.23 0.6 2.3353372 1.2205946 0.9215686274509803 47
0.235 0.95 2.3417869 1.8374611 0.9411764705882353 48
0.255 0.15 2.0645857 1.3257984 0.9411764705882353 48
0.23 0.7 2.1081872 1.0150052 0.9215686274509803 47
0.225 0.2 2.0345638 1.1879387 0.9803921568627451 50
0.26 0.95 2.101755 1.4297056 0.9607843137254902 49
0.225 0.9 2.6504483 1.5135028 0.8823529411764706 45
0.235 0.85 2.0903428 1.2648757 0.9607843137254902 49
0.24 0.7 2.0628362 1.1062084 0.9215686274509803 47
0.24 1.0 2.3253424 1.7071862 0.9411764705882353 48
0.22 0.7 2.2733474 1.3365717 0.9607843137254902 49
0.23 0.5 2.2766747 1.5486127 0.9607843137254902 49
0.255 0.6 2.4008346 1.6890341 0.9019607843137255 46
0.22 0.85 2.3189044 1.0241475 0.9215686274509803 47
0.235 0.4 2.2067366 1.2359095 0.9607843137254902 49
0.245 0.55 2.4900262 1.5884937 0.9215686274509803 47
0.225 0.6 2.4356112 1.5210365 0.9607843137254902 49
0.255 0.4 2.0906725 1.3847651 0.9411764705882353 48
0.24 0.25 2.141779 1.1709222 0.9215686274509803 47
0.24 0.55 2.403359 1.4572611 0.9803921568627451 50
0.24 0.15 2.1952229 1.6196765 0.9607843137254902 49
0.235 0.35 2.0741832 1.4728829 0.9607843137254902 49
0.245 0.05 1.9342201 1.2961046 0.9411764705882353 48
0.24 0.95 1.9377096 1.2112949 0.9411764705882353 48
0.235 0.45 2.313584 1.3572228 0.9607843137254902 49
0.235 0.15 2.2089608 1.2599216 0.9411764705882353 48
0.245 0.5 2.25718 1.431686 0.9215686274509803 47
0.25 0.75 1.9849579 1.2560341 0.9803921568627451 50
0.24 0.75 2.191651 1.2500627 0.9019607843137255 46
0.26 0.7 1.9289687 0.95790046 0.9215686274509803 47
0.26 0.15 2.1192114 1.4028875 0.9411764705882353 48
0.24 0.9 1.9958584 1.2906418 0.9411764705882353 48
