lengthscale l2regularizer bne_rmse_mean bne_rmse_median bne_std bne_cov nll_bne_mean nll_bne_median
0.4 1.3 1.1095786 0.9956043 0.3293223 0.9215686274509803 1.2100803 0.9958166
0.5 0.4 1.219566 1.0868752 0.5353588 0.9019607843137255 1.1502973 1.1776748
0.5 0.1 1.2713867 1.1589708 0.54210955 0.9215686274509803 1.1187391 1.143045
0.4 2.25 0.9960792 0.7967292 0.3886521 0.9411764705882353 1.0546664 0.9100573
0.4 2.5 0.981211 0.7818699 0.387865 0.9411764705882353 1.0385388 0.90707254
0.4 5.0 0.9208858 0.73498166 0.3905597 0.9215686274509803 1.016455 0.9318576
0.4 3.5 0.9423848 0.74557245 0.38297725 0.9411764705882353 1.0203485 0.9092685
0.4 2.0 1.013923 0.8229946 0.3872373 0.9607843137254902 1.0606261 0.91611767
0.5 2.75 0.9323201 0.7390292 0.40580928 0.9215686274509803 1.0047854 0.9295536
0.5 2.5 0.9405248 0.74035573 0.41329834 0.9215686274509803 1.0068885 0.9244141
0.5 0.3 1.246584 1.141876 0.5155815 0.9215686274509803 1.1221534 1.1736257
0.4 1.8 1.0311165 0.8389061 0.38410187 0.9607843137254902 1.0829132 0.92173934
0.5 2.25 0.95147943 0.7420579 0.42291614 0.9215686274509803 1.0015247 0.91759527
0.4 4.0 0.9315429 0.74036384 0.38252476 0.9411764705882353 1.0194564 0.9173453
0.5 0.05 1.2620795 1.1960421 0.49354824 0.9215686274509803 1.110038 1.1391084
0.4 4.25 0.92901665 0.73855424 0.3864625 0.9215686274509803 1.0178727 0.9227878
0.4 4.75 0.9228211 0.73442495 0.38886324 0.9215686274509803 1.0175539 0.92746806
0.4 4.5 0.9256441 0.73759305 0.3868251 0.9215686274509803 1.0204316 0.92693603
0.6 1.1 1.008941 0.7533895 0.5183439 0.9411764705882353 0.9884884 0.92109644
0.6 1.0 1.0194143 0.75656426 0.52405274 0.9411764705882353 0.995831 0.934381
0.6 0.9 1.043222 0.76020205 0.55854034 0.9215686274509803 0.9967379 0.9487361
0.6 0.8 1.0650302 0.7659395 0.5867526 0.9215686274509803 0.9877648 0.96205986
0.5 1.3 1.0476822 0.7756031 0.5179043 0.9411764705882353 1.0310214 0.95396864
0.5 0.7 1.149892 0.9170507 0.53584164 0.9411764705882353 1.0933915 1.0779922
0.5 1.1 1.0862997 0.8092889 0.55229425 0.9411764705882353 1.0452698 0.9799699
0.5 0.8 1.1244075 0.8972287 0.5146206 0.9607843137254902 1.0993754 1.0557823
0.5 1.0 1.0936133 0.82173 0.53828806 0.9411764705882353 1.0682966 1.0049442
0.5 0.6 1.1637205 0.95206046 0.5303943 0.9411764705882353 1.1036323 1.1084328
0.5 1.2 1.0464064 0.7895942 0.4950816 0.9411764705882353 1.0375348 0.9590122
0.5 0.9 1.1161395 0.8381413 0.56154716 0.9411764705882353 1.0848376 1.0358374
0.5 0.5 1.1891948 1.0065382 0.5210072 0.9411764705882353 1.120107 1.13819
0.6 2.0 0.943367 0.7407558 0.43622708 0.9215686274509803 1.0160731 0.93006635
0.6 2.25 0.93222237 0.73944974 0.4244851 0.9019607843137255 1.0178131 0.93833053
0.5 1.7 0.9915679 0.75299394 0.45774361 0.9411764705882353 1.0164558 0.90858644
0.5 1.6 1.0003524 0.75595075 0.47072765 0.9411764705882353 1.0206003 0.9199381
0.5 1.8 0.98035574 0.749465 0.44766247 0.9411764705882353 1.0092756 0.9024873
0.5 1.9 0.9703476 0.7472726 0.43897203 0.9411764705882353 1.004547 0.9068211
0.5 2.0 0.9640224 0.7468646 0.43238834 0.9215686274509803 1.0033039 0.9094792
0.5 1.5 1.0103477 0.7611621 0.47752264 0.9411764705882353 1.0364665 0.9321332
0.5 3.75 0.9171882 0.73704606 0.40197852 0.9019607843137255 1.0141631 0.94914496
0.5 3.5 0.9189243 0.73763365 0.40072802 0.9019607843137255 1.0093275 0.94391525
0.3 3.25 1.0486704 0.90237606 0.32575548 0.9019607843137255 1.2201374 0.9433713
0.5 3.25 0.9217289 0.7377044 0.40011808 0.9019607843137255 1.0080966 0.9409394
0.5 1.4 1.0267006 0.77472615 0.4850888 0.9411764705882353 1.0365962 0.93614155
0.3 4.5 0.99222255 0.812739 0.34905618 0.9215686274509803 1.144071 0.92003816
0.6 0.5 1.1327777 0.78418523 0.6742167 0.9215686274509803 0.9874553 0.9815352
0.6 0.4 1.1367105 0.7883249 0.67640984 0.9215686274509803 0.99187595 0.99154353
0.6 0.6 1.1015097 0.77567184 0.6323238 0.9215686274509803 0.99144244 0.988204
0.6 0.3 1.1257129 0.80503136 0.62270564 0.9215686274509803 0.99856836 0.98041415
0.6 0.2 1.1418537 0.8035258 0.6452026 0.9411764705882353 0.9929252 0.9519838
0.3 5.0 0.9785371 0.79400194 0.35374027 0.9215686274509803 1.1410952 0.9151075
0.6 1.6 0.96273905 0.74346805 0.45438072 0.9215686274509803 1.0182527 0.9234594
0.6 1.7 0.95310163 0.7411574 0.4441562 0.9215686274509803 1.0067931 0.9220797
0.6 1.8 0.9494376 0.7410135 0.44198585 0.9215686274509803 1.0068814 0.92203486
0.6 1.3 0.9860342 0.74556494 0.4899939 0.9215686274509803 1.0027462 0.9146571
0.6 1.4 0.978424 0.74419683 0.47992668 0.9215686274509803 1.0046103 0.91747594
0.6 1.5 0.9698698 0.7432846 0.47006005 0.9215686274509803 1.004295 0.9214974
0.6 0.1 1.1888797 0.82268363 0.71578085 0.9215686274509803 0.99577904 0.946222
0.4 0.9 1.2079651 1.1990764 0.28569755 0.9019607843137255 1.2639804 1.0602963
0.6 1.2 0.9980438 0.74957114 0.5068617 0.9411764705882353 0.997559 0.9128409
0.6 0.7 1.0783752 0.7712864 0.5994338 0.9215686274509803 0.9884143 0.96804
0.6 4.25 0.9036488 0.7455484 0.405229 0.9215686274509803 1.0299658 0.91202587
0.7 0.7 1.0079049 0.74681383 0.5279566 0.9411764705882353 0.98185444 0.91905135
0.6 4.0 0.9054306 0.7440163 0.40455064 0.9215686274509803 1.0302793 0.9146713
0.6 3.0 0.9150167 0.7394091 0.40764782 0.9019607843137255 1.0236748 0.9298867
0.6 4.5 0.90254754 0.74721813 0.40552297 0.9215686274509803 1.0311369 0.9091526
0.6 3.5 0.9091229 0.7414116 0.4054452 0.9215686274509803 1.0272118 0.92256486
0.6 3.75 0.907624 0.74275506 0.4053823 0.9215686274509803 1.0294515 0.9182979
0.6 2.75 0.91962457 0.7395776 0.41048747 0.9019607843137255 1.0224576 0.93607354
0.6 3.25 0.9118824 0.74031126 0.40711054 0.9019607843137255 1.0257753 0.92582417
0.7 0.8 0.99402744 0.7436149 0.51063824 0.9019607843137255 0.98127604 0.9100559
0.7 0.6 1.020866 0.7443706 0.54978275 0.9215686274509803 0.97983646 0.9273001
0.5 5.0 0.9075472 0.74066377 0.4029564 0.9215686274509803 1.0209317 0.92600685
0.5 4.75 0.90841895 0.7405786 0.4003465 0.9019607843137255 1.021504 0.9297371
0.5 4.5 0.9107751 0.7399726 0.4022859 0.9019607843137255 1.0169346 0.9329618
0.6 0.05 1.148245 0.8250159 0.6404343 0.9411764705882353 0.99059796 0.96457916
0.5 4.25 0.91281515 0.7391707 0.4020015 0.9019607843137255 1.0174217 0.9379246
0.7 0.1 1.0622002 0.7490604 0.58908516 0.9019607843137255 0.9550418 0.9224247
0.5 4.0 0.915013 0.7374904 0.40153265 0.9019607843137255 1.0166994 0.9470682
0.7 0.5 1.0243279 0.74527276 0.5480137 0.9215686274509803 0.97118545 0.93156177
0.6 1.9 0.947128 0.7413489 0.44042408 0.9215686274509803 1.012571 0.92571896
0.7 0.2 1.0458436 0.7477995 0.56504077 0.9019607843137255 0.9564336 0.9213013
0.7 0.05 1.0549161 0.7444248 0.57571673 0.9019607843137255 0.9448953 0.9161637
0.7 0.3 1.0441507 0.7502421 0.5620579 0.9019607843137255 0.9535056 0.9162695
0.7 1.8 0.93387055 0.7403996 0.43403286 0.8823529411764706 1.0271719 0.9347956
0.8 1.4 0.93545914 0.7417909 0.4378645 0.8823529411764706 1.0291767 0.92928016
0.7 1.5 0.9475551 0.7414551 0.45006108 0.9019607843137255 1.0178865 0.9296597
0.8 1.5 0.9323732 0.7422017 0.43445185 0.8823529411764706 1.0319455 0.93167484
0.6 5.0 0.90036446 0.7500797 0.405082 0.9215686274509803 1.0318947 0.9048574
0.7 1.6 0.9424944 0.7405506 0.44485015 0.9019607843137255 1.020949 0.92737186
0.7 1.7 0.93675154 0.7407998 0.4354943 0.8823529411764706 1.0264437 0.933684
0.7 0.4 1.0438656 0.7495196 0.57302046 0.9019607843137255 0.96552306 0.93017745
0.7 1.3 0.9609885 0.7413997 0.46876085 0.9019607843137255 1.0137225 0.92355835
0.7 1.4 0.9522806 0.74158525 0.45573717 0.9019607843137255 1.0142838 0.9272268
0.7 1.2 0.9615152 0.74159324 0.46513948 0.9019607843137255 1.0072117 0.9184221
0.8 1.3 0.9408886 0.74329937 0.44443867 0.8823529411764706 1.0280946 0.928178
0.8 2.75 0.9036601 0.74771214 0.40739477 0.9215686274509803 1.0406286 0.90508187
0.7 0.9 0.9860776 0.742532 0.50117904 0.9019607843137255 0.99239945 0.9147186
0.7 4.0 0.9003134 0.7523401 0.4029867 0.9215686274509803 1.0429963 0.9015986
0.8 3.0 0.90194106 0.75068104 0.40478745 0.9215686274509803 1.0435002 0.90585184
0.8 3.25 0.9004324 0.7526605 0.40299895 0.9215686274509803 1.0525208 0.90417874
0.7 3.75 0.9026267 0.7506584 0.4042785 0.9215686274509803 1.0429404 0.90288377
0.6 2.5 0.92538357 0.739945 0.41637647 0.9019607843137255 1.0189813 0.9423586
0.7 2.75 0.91046524 0.7419531 0.41169536 0.9215686274509803 1.0334674 0.9179375
0.7 1.1 0.9674468 0.7426013 0.47444382 0.9019607843137255 1.0028038 0.9202316
0.7 3.5 0.90360117 0.7485341 0.40612212 0.9215686274509803 1.0425588 0.9040506
0.7 3.25 0.9057167 0.7459743 0.40660098 0.9215686274509803 1.0410773 0.9056876
0.7 3.0 0.9077644 0.7442139 0.40924653 0.9215686274509803 1.0383035 0.91163063
0.8 0.4 1.0089425 0.74533296 0.53790426 0.9019607843137255 0.983161 0.9142693
0.7 4.25 0.89889455 0.7532594 0.40224004 0.9215686274509803 1.0429889 0.90095127
0.8 0.05 1.0132476 0.7454325 0.5407352 0.9215686274509803 0.96637136 0.9126849
0.6 4.75 0.90152603 0.7489352 0.40526962 0.9215686274509803 1.0314914 0.9065617
0.7 4.5 0.8980946 0.75606966 0.40216368 0.9215686274509803 1.0446733 0.900366
0.7 4.75 0.89735883 0.75808895 0.40145543 0.9215686274509803 1.0460869 0.9004351
0.7 1.0 0.97354984 0.7421183 0.48017615 0.9019607843137255 0.99402857 0.91526365
0.8 0.1 1.0225754 0.74469733 0.559463 0.9215686274509803 0.96902084 0.90915453
0.7 2.25 0.92014426 0.740643 0.41885686 0.8823529411764706 1.0294487 0.9262738
0.8 0.5 0.9926595 0.7468275 0.5102191 0.9019607843137255 0.97959167 0.90936905
0.8 0.3 1.0158423 0.7460519 0.5474714 0.9019607843137255 0.9729001 0.90598273
0.7 2.5 0.9151074 0.74181986 0.41406277 0.9215686274509803 1.0333687 0.9236909
0.8 0.2 1.0077666 0.74684334 0.534981 0.9215686274509803 0.97002316 0.9129631
0.7 5.0 0.89654154 0.7597763 0.40059462 0.9215686274509803 1.0489415 0.9006995
0.7 2.0 0.9271775 0.7407881 0.4253661 0.8823529411764706 1.0273676 0.9297778
0.8 2.25 0.9103691 0.74243295 0.41343534 0.9019607843137255 1.040325 0.9120078
0.8 0.7 0.97862077 0.7455653 0.4940568 0.9019607843137255 0.9979725 0.91499525
0.8 1.0 0.95090884 0.7432213 0.45366776 0.9215686274509803 1.0176824 0.91981506
0.9 1.1 0.9363048 0.7430843 0.44075084 0.8823529411764706 1.0304427 0.9201361
0.8 0.6 0.9909901 0.7453772 0.5136513 0.9019607843137255 0.99492604 0.9138887
0.8 4.0 0.898225 0.7603146 0.399518 0.9215686274509803 1.0556053 0.89814305
0.8 0.9 0.9572498 0.74446374 0.4639284 0.9019607843137255 1.0070232 0.91894555
0.8 1.2 0.94149345 0.7429124 0.44228065 0.8823529411764706 1.0224688 0.9266176
0.8 0.8 0.9699871 0.74574184 0.48408523 0.9019607843137255 1.0002275 0.91662085
0.8 2.5 0.90656877 0.745422 0.40957618 0.9019607843137255 1.0421047 0.90737486
0.7 1.9 0.928073 0.74090314 0.42508683 0.8823529411764706 1.0298601 0.93687737
0.8 4.25 0.89739615 0.7623675 0.39877623 0.9215686274509803 1.0571607 0.89808536
0.8 2.0 0.9158292 0.7426087 0.41764328 0.9019607843137255 1.0394468 0.91835004
0.8 1.1 0.94946545 0.7425818 0.4554229 0.9019607843137255 1.0202376 0.92312205
0.8 4.5 0.8963985 0.7643306 0.39779088 0.9215686274509803 1.0574771 0.8991683
0.9 1.4 0.9240115 0.7431598 0.4272195 0.8823529411764706 1.0484486 0.91895205
0.9 2.0 0.90868384 0.74463785 0.41193372 0.9019607843137255 1.0521921 0.90720654
0.9 1.6 0.9177775 0.7444821 0.41920048 0.9019607843137255 1.0532538 0.9199735
0.9 2.25 0.9060533 0.7493105 0.40858594 0.9019607843137255 1.0559562 0.9061264
0.9 1.5 0.91975695 0.74326515 0.42190087 0.8823529411764706 1.0512829 0.9179092
0.9 1.8 0.912647 0.74476767 0.41518822 0.9019607843137255 1.0529488 0.9141902
0.9 2.5 0.9028034 0.75195694 0.40617657 0.9019607843137255 1.0558163 0.9053402
0.9 0.2 1.0055388 0.75291556 0.5380768 0.9019607843137255 1.013537 0.9139322
0.9 1.2 0.93140244 0.7422848 0.4351027 0.8823529411764706 1.0331683 0.9233695
