lengthscale l2regularizer bma_mean_rmse_mean bma_mean_rmse_median bma_mean_std bma_mean_cov bma_rmse_mean bma_rmse_median bma_std bma_cov bae_rmse_mean bae_rmse_median bae_std bae_cov
0.35 1.0 1.1655005 1.1478401 0.31866014 0.8823529411764706 1.1618321 1.1456282 0.32783818 0.8823529411764706 2.94837 2.7111394 0.78958195 0.9215686274509803
0.45 0.35 1.0407349 1.0548369 0.36202234 0.8823529411764706 1.0370855 1.0448774 0.3709202 0.8823529411764706 2.515245 2.204892 0.8559709 0.9215686274509803
0.5 0.55 1.1441731 1.1434147 0.342049 0.8823529411764706 1.1396729 1.1415095 0.35145402 0.8823529411764706 2.8836334 2.6032772 0.87089014 0.9215686274509803
0.45 0.5 1.0782673 1.0527205 0.37249428 0.8823529411764706 1.0744945 1.0428576 0.3805395 0.8823529411764706 2.6991596 2.3613796 0.8759425 0.9215686274509803
0.45 0.55 1.1291038 1.1089427 0.34338593 0.8823529411764706 1.1241626 1.0987121 0.35272595 0.8823529411764706 2.807849 2.5267231 0.70116264 0.9215686274509803
0.2 0.75 1.1908873 1.1190956 0.52695745 0.9215686274509803 1.1837032 1.1116633 0.533447 0.9215686274509803 2.843755 2.5091035 0.8508816 0.8431372549019608
0.15 0.65 1.2023321 1.0873985 0.5794217 0.8627450980392157 1.1945859 1.07556 0.58641887 0.8823529411764706 2.908511 2.6390023 0.89198905 0.8627450980392157
0.1 0.3 1.3484315 1.2398808 0.5782251 0.8627450980392157 1.340551 1.236448 0.5846432 0.8627450980392157 2.5542972 2.1992118 0.8432779 0.8627450980392157
0.4 1.0 1.1722074 1.1704404 0.32113588 0.8823529411764706 1.1677163 1.1678777 0.3313824 0.8823529411764706 2.9167223 2.6951246 0.7074495 0.9215686274509803
0.2 0.4 1.1458482 1.1090912 0.52418965 0.9215686274509803 1.1382285 1.1003996 0.5308258 0.9215686274509803 2.7271893 2.5827603 0.76262003 0.8627450980392157
0.15 0.9 1.2392099 1.1939768 0.52666306 0.8627450980392157 1.2325362 1.1885293 0.53305095 0.8627450980392157 2.901146 2.5824723 0.9487629 0.8823529411764706
0.2 0.8 1.1979865 1.1212258 0.5042844 0.9215686274509803 1.1903857 1.1129631 0.5110632 0.9215686274509803 2.8340561 2.5824423 0.78535384 0.8823529411764706
0.45 0.75 1.17536 1.1823152 0.32908586 0.8823529411764706 1.1701245 1.1795927 0.3400069 0.8823529411764706 2.9079514 2.6387372 0.7371888 0.9019607843137255
0.55 0.1 0.9424351 0.9159353 0.40508235 0.9215686274509803 0.9389592 0.9041854 0.41263306 0.9215686274509803 2.3081849 2.0668397 1.0340822 0.9215686274509803
0.15 0.1 1.1853863 1.1729002 0.5336838 0.9019607843137255 1.1786338 1.1638691 0.542505 0.8823529411764706 2.0710657 1.8438042 0.7585698 0.8627450980392157
0.4 0.9 1.181618 1.199615 0.3162233 0.8823529411764706 1.1770573 1.1969442 0.32686839 0.8823529411764706 2.9108932 2.7452881 0.6760068 0.8627450980392157
0.15 0.3 1.20483 1.120362 0.54344606 0.8823529411764706 1.1974388 1.1114943 0.5508838 0.9019607843137255 2.6098657 2.433095 0.8170074 0.8431372549019608
0.4 0.85 1.1772703 1.1806576 0.31593534 0.8823529411764706 1.1726152 1.177841 0.3263915 0.8823529411764706 2.988561 2.769568 0.758252 0.9215686274509803
