lengthscale l2regularizer bae_rmse_mean bae_rmse_median bae_std bae_cov nll_bae_mean nll_bae_median
0.15 5.0 1.4291693 1.2441663 0.55549216 0.9215686274509803 1.4912062 1.1849653
0.15 4.9 1.4416553 1.2530088 0.5613175 0.9215686274509803 1.5060703 1.1891866
0.2 0.7 3.9486878 2.7172594 2.9399579 0.7058823529411765 2.9620647 2.068079
0.2 0.9 3.356724 2.4714775 2.083455 0.7254901960784313 2.9256232 1.9048887
0.2 1.0 3.089466 2.3311453 1.740956 0.7058823529411765 3.049815 1.8286884
0.2 0.95 3.169222 2.372529 1.7851963 0.7450980392156863 2.9177692 1.900145
0.2 1.1 2.9200554 2.247547 1.4462194 0.7058823529411765 3.1512232 1.7506098
0.2 1.25 2.697982 2.1684182 1.1273856 0.7254901960784313 3.2897403 1.5508535
0.2 1.7 2.210871 1.867387 0.6738117 0.6862745098039216 2.9536755 1.4039737
0.2 0.5 4.716121 3.1405752 3.9890924 0.6862745098039216 3.0780509 1.7183692
0.2 0.2 5.4496193 3.6245317 4.782929 0.6862745098039216 3.4957752 1.5634553
0.2 0.65 4.160049 2.8515043 3.0897253 0.6666666666666666 3.2611988 1.9528733
0.2 1.2 2.7681055 2.163319 1.2412944 0.7058823529411765 3.1776211 1.630173
0.2 1.75 2.1866055 1.8676566 0.6387989 0.6862745098039216 2.8433113 1.3620476
0.2 1.8 2.1613925 1.8600894 0.631398 0.7058823529411765 2.740733 1.384606
0.2 1.35 2.5442955 2.0628722 0.95579094 0.7254901960784313 3.1404655 1.52295
0.2 1.65 2.2467453 1.9089432 0.690692 0.6862745098039216 2.9775674 1.4162099
0.15 4.45 1.4983131 1.2765529 0.57325965 0.8627450980392157 1.6396505 1.1908321
0.2 1.15 2.832384 2.2022839 1.3237209 0.7058823529411765 3.1667297 1.6655966
0.2 1.6 2.3141623 1.9537923 0.7239103 0.6862745098039216 3.115115 1.3895137
0.15 4.4 1.5046464 1.2787519 0.57391196 0.8627450980392157 1.6485833 1.1896143
0.2 1.55 2.3329108 1.9439936 0.7524803 0.6862745098039216 3.0996873 1.4357815
0.2 2.2 1.9408588 1.7689024 0.59393895 0.7254901960784313 2.3583326 1.3465043
0.2 2.1 1.9937521 1.8182487 0.5890206 0.7254901960784313 2.4937217 1.3556271
