lengthscale l2regularizer bne_rmse_mean bne_rmse_median bne_std bne_cov nll_bne_mean nll_bne_median
0.5 1.4 1.886536 0.8374526 2.3194628 0.9411764705882353 1.2778767 1.1557949
0.6 0.9 1.7519861 1.0002836 1.878531 0.9019607843137255 1.3501276 1.3045955
0.6 0.5 2.9247272 0.94215095 4.4918985 0.8431372549019608 1.4296218 1.3919808
0.6 0.7 2.715312 0.8840097 4.0383844 0.9019607843137255 1.3832546 1.2327002
0.7 0.6 3.4113247 0.88075864 5.720895 0.8431372549019608 1.2647595 1.1808231
0.5 4.75 1.1603839 0.8788139 0.6059644 0.8627450980392157 1.5187696 1.509531
0.5 3.0 1.2072403 0.80703604 0.85690105 0.8627450980392157 1.4271135 1.2535858
0.6 0.1 5.0128307 0.88520503 9.19782 0.8627450980392157 1.3349515 1.3454756
0.6 0.4 4.165584 0.8301865 7.3082666 0.8823529411764706 1.4432116 1.3072088
0.6 0.3 5.5238824 0.90588975 10.345328 0.8823529411764706 1.3412594 1.2655056
0.5 4.0 1.1719213 0.8096856 0.6961109 0.8627450980392157 1.4937873 1.4808424
0.6 4.5 1.047315 0.77103734 0.49324885 0.8823529411764706 1.4119133 1.5207407
0.5 4.5 1.1648275 0.8490225 0.6443569 0.8627450980392157 1.5120627 1.4664723
0.5 1.5 1.715237 0.84291786 1.9577018 0.9215686274509803 1.2954036 1.2142909
0.7 0.1 15.157338 0.87679493 31.891867 0.8431372549019608 1.3319985 1.2257848
0.7 0.2 6.831178 1.027341 13.209747 0.8431372549019608 1.2194191 1.0854652
0.5 3.5 1.1890894 0.80016243 0.77497214 0.8627450980392157 1.4568053 1.36909
0.7 0.7 6.3488317 0.89992 12.242728 0.8823529411764706 1.181898 1.1900978
0.6 1.3 1.4062413 0.8674491 1.2768912 0.8823529411764706 1.2974833 1.1015158
0.6 1.8 1.2084502 0.8077785 0.9138736 0.8627450980392157 1.3698411 1.1182222
0.6 1.9 1.208208 0.7906943 0.9306604 0.8627450980392157 1.373694 1.1117871
0.6 1.5 1.3030021 0.85012966 1.0808897 0.8627450980392157 1.3415123 1.1435459
0.7 1.3 1.147159 0.8230442 0.7155895 0.8627450980392157 1.3900114 1.2029954
0.6 2.0 1.1789331 0.8029165 0.85661614 0.8627450980392157 1.3908314 1.1295481
0.6 1.4 1.373675 0.8884301 1.2002286 0.8627450980392157 1.3529793 1.1460559
0.6 1.7 1.2753431 0.81468505 1.0606791 0.8627450980392157 1.3521389 1.1265421
0.5 3.75 1.1607524 0.79478335 0.7081178 0.8627450980392157 1.459176 1.4024603
0.6 1.6 1.2368625 0.813846 0.97164917 0.8627450980392157 1.3375398 1.0899991
0.7 0.05 12.275138 0.8910464 25.523066 0.8627450980392157 1.1691228 1.0715588
0.6 3.75 1.0650035 0.7544942 0.5635712 0.8823529411764706 1.4158014 1.3908992
0.7 1.6 1.1349554 0.7944064 0.7722692 0.8235294117647058 1.3836778 1.1184634
0.6 1.1 1.7090468 0.9097487 1.8771542 0.8823529411764706 1.3761448 1.210136
0.7 1.0 1.8255397 0.87384605 2.20301 0.8431372549019608 1.3591423 1.1821934
0.6 3.5 1.0543084 0.75234437 0.5664812 0.8627450980392157 1.3868438 1.3052931
0.6 4.0 1.0605305 0.7622565 0.5397785 0.8823529411764706 1.4199134 1.4556288
0.6 3.0 1.0897944 0.76957774 0.6438923 0.8431372549019608 1.4171728 1.2648103
0.6 2.5 1.1091927 0.7790755 0.7087135 0.8627450980392157 1.392641 1.1686667
0.6 2.75 1.0977088 0.7606543 0.6920957 0.8627450980392157 1.4037781 1.1707785
0.7 1.2 1.2470716 0.8509017 0.97670215 0.8431372549019608 1.3666042 1.1400181
0.7 1.7 1.0997441 0.7846033 0.71089464 0.8431372549019608 1.3780907 1.0994623
0.7 3.75 0.9946787 0.7526667 0.45625788 0.8431372549019608 1.3500029 1.4074769
0.7 0.9 1.8778824 0.875049 2.3224003 0.8627450980392157 1.3532944 1.153398
0.6 3.25 1.0676802 0.7602085 0.59353894 0.8235294117647058 1.4102807 1.3133729
0.7 1.1 1.1895444 0.8654257 0.83557594 0.8431372549019608 1.363149 1.1779227
0.7 0.5 7.257748 0.9036623 14.274207 0.8823529411764706 1.1993471 1.1798965
0.6 0.05 5.303015 0.9856708 9.721387 0.8235294117647058 1.5572896 1.376309
0.8 0.4 6.4458814 0.87030625 12.491658 0.8431372549019608 1.2958069 1.1059225
0.6 5.0 1.0500153 0.8064414 0.4646311 0.8823529411764706 1.428033 1.5641034
0.7 1.4 1.1612395 0.82242614 0.8149743 0.8627450980392157 1.3729285 1.1418468
0.8 1.0 1.6073424 0.8132849 1.7827553 0.8627450980392157 1.3460749 1.133615
0.8 0.1 8.988274 0.7594966 18.28523 0.8627450980392157 1.2136222 1.0275211
0.7 3.5 1.0010108 0.7487304 0.47794324 0.8431372549019608 1.34477 1.3454256
0.8 0.05 8.767904 0.7568925 17.816788 0.8431372549019608 1.231961 0.95823884
0.6 4.75 1.0488293 0.7868498 0.4833893 0.8823529411764706 1.4208475 1.5304745
0.7 1.9 1.0815743 0.7670835 0.68536377 0.8431372549019608 1.3651685 1.0885652
0.7 0.3 4.0218253 0.954158 6.978258 0.8627450980392157 1.3755298 1.2939367
0.7 4.0 0.99714965 0.7515577 0.45062432 0.8431372549019608 1.3504982 1.4475728
0.8 0.9 1.8268534 0.75965285 2.2971063 0.8627450980392157 1.3678912 1.0515189
0.6 0.2 4.1052713 0.8306474 7.205168 0.8823529411764706 1.4103527 1.3738861
0.7 0.4 4.821261 0.9634319 8.743331 0.8627450980392157 1.3060484 1.3160238
0.7 1.8 1.0612003 0.77186966 0.6395153 0.8431372549019608 1.3525639 1.1026773
0.7 4.75 0.99758863 0.76364386 0.41380638 0.8627450980392157 1.3707069 1.5352812
0.8 0.5 5.0548396 0.7683325 9.475252 0.8627450980392157 1.2901293 1.0891935
0.7 4.5 0.99612063 0.7607949 0.4245678 0.8627450980392157 1.3657008 1.5320909
0.8 1.4 1.0641814 0.7862 0.64067024 0.8431372549019608 1.3647372 1.1012462
0.7 5.0 0.9939578 0.7672647 0.4077091 0.8823529411764706 1.361466 1.5397763
0.8 1.1 1.1600356 0.82429683 0.8107924 0.8431372549019608 1.402605 1.1368241
0.8 0.3 6.9426045 0.75882804 13.723114 0.8431372549019608 1.1850101 0.9323659
0.8 0.8 2.5891373 0.74070275 4.0221424 0.8823529411764706 1.2313886 1.0022597
0.7 1.5 1.1508912 0.81762075 0.79504704 0.8431372549019608 1.4000983 1.1372516
0.6 2.25 1.1298505 0.77604175 0.7672102 0.8627450980392157 1.3795156 1.113148
0.7 3.25 1.0033512 0.7432734 0.4970889 0.8431372549019608 1.3477737 1.2888176
0.6 1.2 1.7314624 0.87529707 1.9570032 0.8627450980392157 1.2887644 1.1219053
0.8 1.2 1.2859173 0.743252 1.1258341 0.8627450980392157 1.4198918 1.081301
0.8 1.3 1.1073128 0.7684344 0.7396521 0.8431372549019608 1.397287 1.1078327
0.7 0.8 2.2775934 0.9105307 3.1527352 0.8627450980392157 1.3663479 1.2454574
0.8 0.6 3.3345625 0.7408439 5.686818 0.8431372549019608 1.2334898 0.9501116
0.8 0.7 3.2137783 0.75478464 5.38177 0.8627450980392157 1.252163 1.0386795
0.8 0.2 6.3594785 0.81594133 12.348835 0.8627450980392157 1.2661511 1.1139259
0.7 4.25 0.99728364 0.7570944 0.43635613 0.8431372549019608 1.3632945 1.5224638
